id,captions
87063,"['a close up of two bottles on a table', 'a close up of two bottles on a counter', 'a close up of two bottles of UNK', 'a close up of two bottles on a counter top', 'a close up of two bottles on a counter with UNK']"
5712,"['a woman standing in front of a picture of a bird', 'a woman standing in front of a painting of a bird', 'a woman standing in front of a picture of a large bird', 'a woman standing in front of a painting of a white bird', 'a woman standing next to a wall with a picture of a bird']"
98143,"['a brick building with a large window on the side', 'a large brown brick building with windows on the side', 'a brick building with a large window on the side of it', 'a brick building with a large window on the outside', 'a brick building with a large window on the front of it']"
62789,"['a cloudy day in a residential neighborhood', 'a cloudy day in a small town', 'a group of houses with a cloudy sky', 'a group of houses with a cloudy sky in the background', 'a cloudy day in a small town with clouds']"
92308,"['a close up of a person holding a skate board', 'a close up of a person holding a pair of scissors', 'a close up of a person holding a flower', 'a close up of a person holding a purple object', 'a close up of a person holding a purple flower']"
61280,"['a man and a woman smiling for the camera', 'a man and a woman posing for a picture', 'a man and a woman posing for a picture together', 'a man and a woman posing for a photograph', 'a man and a woman are smiling for a picture']"
10479,"['a black and white photo of a train', 'a black and white photo of a train station', 'a black and white photo of a train track', 'a black and white photo of a railroad track', 'a black and white photo of a train track and a building']"
95467,"['a man wearing a hat and a tie', 'a man dressed in a colorful outfit and a tie', 'a man wearing a hat and a tie standing next to a fence', 'a man wearing a hat and a tie standing in front of a fence', 'a man dressed in a colorful outfit and a colorful tie']"
9128,"['a picture of a car and a sign', 'a picture of a television with a picture on it', 'a picture of a tv screen with a picture on it', 'a picture of a television with a picture of a man on it', 'a picture of a tv screen with a picture of a man on it']"
69804,"['a picture of a cat with a hat on', 'a wall with a picture of a dog and a cat', 'a wall with a picture of a black and white animal', 'a wall with a picture of a cat and a dog', 'a wall with a picture of a cat and a dog on it']"
83205,"['a man and a little girl sitting at a table', 'a man and a child sitting at a table', 'a man and a little girl are sitting at a table', 'a man and a young girl are sitting at a table', 'a man and a child sitting at a table with food']"
93016,"['a group of men standing next to each other', 'a group of men standing next to each other in a room', 'a group of men standing next to each other near each other', 'a group of men standing next to each other in front of a crowd', 'a group of men standing next to each other in a crowd']"
47521,"['a man wearing a suit and tie', 'a man in a gray suit and tie', 'a man wearing a gray suit and a tie', 'a man in a gray suit and tie smiling', 'a man in a gray suit and a tie']"
76924,"['a young man wearing a suit and tie', 'a man wearing a suit and a tie', 'a smiling man in a suit and tie', 'a man in a suit and tie holding his hands up', 'a smiling man in a suit and tie holding his hands up']"
48612,"['a couple of men standing next to each other', 'a group of three men standing next to each other', 'two men standing next to each other in front of a building', 'a couple of men standing next to each other in front of a building', 'a couple of men standing next to each other on a sidewalk']"
30971,"['a couple of people that are posing for a picture', 'a couple of people that are next to each other', 'a man and a little girl smiling for the camera', 'an older man and a young girl smiling', 'a couple of people that are posing for a photo']"
58367,"['a group of people that are on a boat', 'a group of people riding on the back of a truck', 'a group of people that are on a bridge', 'a group of people that are on a fence', 'a group of people riding on the back of a boat']"
81374,"['a man in grey jacket standing next to trees', 'a man standing in front of trees with a pink head', 'a man standing in front of trees with a pink head on his head', 'a man standing in front of a tree with a pink horse', 'a man standing in front of trees with a pink cow head']"
43021,"['a close up of a woman brushing her hair', 'a woman with a cell phone in her hand', 'a woman holding a piece of food up to her mouth', 'a close up of a person brushing her hair', 'a woman with a cell phone in her mouth']"
98625,"['a man in a suit and tie holding a bear', 'a man in a suit holding a bear', 'a man is holding a bear in front of him', 'a man in a suit and tie holding a teddy bear', 'a man in a suit holding a bear next to another man']"
15267,"['a woman holding a baby in her arms', 'a woman holding a baby while laying on a bed', 'a woman holding a baby while laying in bed', 'a woman holding a baby while laying on top of a bed', 'a woman holding a baby while laying on the bed']"
65794,"['a man sitting on a bed with a blanket', 'a black and white photo of a person sitting on a bed', 'a black and white photo of a man sitting on a bed', 'a black and white photo of a man sitting on a couch', 'a man is sitting on a blanket on a bed']"
13602,"['a little girl sitting on top of a chair', 'a little girl sitting in a chair with a cell phone', 'a little girl sitting on the floor with a cell phone', 'a little girl sitting on the floor playing with a cell phone', 'a little girl sitting on the floor playing with a cellphone']"
97502,"['a man with a camera around his neck is talking', 'a man is holding a microphone and wearing a glove', 'a man with a camera around his neck holding a baseball bat', 'a man with a camera around his neck holding a baseball glove', 'a man with a camera around his neck looks at a camera']"
93764,"['a man is looking at himself in the mirror', 'a man sitting in front of a bathroom mirror', 'a man is looking at himself in a mirror', 'a man with long hair looking into a mirror', 'a man sitting in front of a mirror in a bathroom']"
67183,"['a couple of men standing next to each other', 'a group of men standing next to each other', 'a group of men standing around each other', 'a group of men standing next to each other in a room', 'a group of men standing next to each other on a stage']"
48160,"['a group of three women standing next to each other', 'two young women standing next to each other', 'a group of three young women standing next to each other', 'two young women standing next to each other in a room', 'two young women standing next to each other in front of a wall']"
60834,"['a man sitting in front of a laptop computer', 'a man sitting in front of a table with laptops', 'a man sitting at a table with a laptop', 'a man sitting in front of a table with a computer', 'a man sitting in front of a table with a laptop']"
56438,"['a man is standing in front of a television', 'a man with a beard and a beard on a television', 'a man with a beard and a beard on a stage', 'a man with a beard and a beard on a television screen', 'a man with a beard and a beard is standing in front of a television']"
73690,"['a man is walking down the street with a stuffed animal', 'a man is walking down the street with a large stuffed animal', 'a man is walking down the sidewalk and is wearing a parrot costume', 'a man is walking down the sidewalk and is wearing a UNK', 'a man is walking down the sidewalk and is wearing a UNK costume']"
98157,"['a group of people sitting on top of a couch', 'a group of people sitting on top of a beach', 'a group of people sitting on a beach', 'a group of people sitting on top of a dirt field', 'a group of people sitting on top of a bed']"
21698,"['a painting of a woman holding a baseball bat', 'a painting of a woman holding a pair of scissors', 'a picture of a woman holding a baseball bat', 'a picture of a woman holding a bat', 'a painting of a woman holding a baseball bat next to a painting']"
1548,"['a woman talking on a cell phone in a bar', 'a woman talking on a cell phone in a kitchen', 'a woman talking on a cell phone in a store', 'a woman talking on a cell phone with a man in the background', 'a woman talking on a cell phone with a man behind her']"
96152,"['a group of men standing next to each other', 'a black and white photo of a crowd of people', 'a black and white image of a group of people', 'a black and white photo of a group of people', 'a group of men standing next to each other in a field']"
89072,"['a group of people standing next to each other', 'a group of young people standing around each other', 'a group of young people standing next to each other', 'a group of people standing around each other', 'a group of young people standing next to each other holding each other']"
34295,"['a woman sitting on a couch next to a man', 'a woman sitting on a couch with a remote', 'a woman is sitting on a couch with a remote', 'a woman sitting on a couch with a remote in her hand', 'a woman sitting on a couch next to a tree']"
4356,"['a man wearing a hat standing in front of a sign', 'a man wearing a black t shirt and a hat', 'a man wearing a black t shirt and black shirt', 'a man wearing a black t shirt and black pants', 'a man wearing a hat standing in front of a UNK sign']"
12534,"['a large group of people standing in a parking lot', 'a large group of people standing around in a field', 'a large group of people standing around in the street', 'a large group of people standing around in front of a building', 'a large group of people standing around in front of a sign']"
6541,"['a man in a suit and tie standing next to another man', 'a black and white photo of a man in a suit', 'a black and white photo of a man in a suit and tie', 'a man in a suit and tie standing next to a man', 'a man in a suit and tie standing in front of a man']"
7893,"['a pretty young lady posing for a picture', 'a woman wearing a white shirt and tie', 'a pretty young lady wearing a white shirt and a tie', 'a woman is posing for a picture with a smile', 'a pretty young lady posing for a picture with a smile']"
93758,"['a man posing for a picture in front of a camera', 'a man posing for a picture in front of a white wall', 'a man posing for a photo in front of a white wall', 'a man posing for a picture in front of a white background', 'a man posing for a picture in front of a wall']"
94037,"['a dog with a tag in its ears', 'a dog with a tag in his ears', 'a dog with a tag sitting in a room', 'a dog with a tag in his ears looking at the camera', 'a dog with a tag in its ears looking into the camera']"
